ticker,filing_date,equip_life_min_yrs,equip_life_max_yrs,life_changed_from_yrs,life_changed_to_yrs,sentence,filing_url,error
MSFT,2025-07-30,2.0,6.0,,,"The estimated useful lives of our property and equipment are generally as follows: software developed or acquired for internal use, three years ; computer equipment, two to six years ; buildings and improvements, five to 15 years ; leasehold improvements, three to 15 years ; and furniture and equipment, one to 10 years .",https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,
GOOGL,2026-02-05,,,,,,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,no disclosure found
AMZN,2026-02-06,,,6.0,5.0,"Effective January 1, 2025 we changed our estimate of the useful lives of a subset of our servers and networking equipment from six years to five years .",https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,
AMZN,2026-02-06,5.0,6.0,,6.0,"The estimated useful lives as of December 31, 2025, are as follows: Property and equipment Estimated useful life Buildings Lesser of forty years or the remaining life of the underlying building Servers and networking equipment Five to six years (1) Heavy equipment Ten to thirteen years (2) Other equipment Three to ten years ___________________ (1) Effective January 1, 2024, we changed our estimate of the useful lives for our servers from five to six years , and effective January 1, 2025, we changed our estimate of the useful lives of a subset of our servers and networking equipment from six to",https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,
META,2026-01-29,,,,5.5,"Change in Accounting Estimate In January 2025, we completed an assessment of the useful lives of property and equipment, which resulted in an increase in the estimated useful lives of most servers and network assets to 5.5 years, effective January 1, 2025.",https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,
META,2026-01-29,,,,,"For additional information regarding the change in useful lives of our servers and network assets, see Note 1 — Summary of Significant Accounting Policies in the accompanying notes to the consolidated financial statements included in Part II, Item 8, ""Financial Statements and Supplementary Data"" of this Annual Report on Form 10-K.",https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,
META,2026-01-29,,,,,"The increase was mainly due to higher operational expenses related to our data centers and technical infrastructure, which included decreases in the depreciation growth rate due to an extension in the useful lives of servers and network assets, effective January 1, 2025.",https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,
META,2026-01-29,,,,5.5,"In January 2025, we completed an assessment of the useful lives of property and equipment, which resulted in an increase in the estimated useful lives of most servers and network assets to 5.5 years, effective January 1, 2025.",https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,
META,2026-01-29,,,,,"The estimated useful lives of property and equipment and amortization periods of finance lease right-of-use (ROU) assets as of December 31, 2025 are described below: Property and Equipment Useful Life/ Amortization period Servers and network assets Five to 5.5 years Buildings 25 to 30 years Equipment and other One to 25 years Finance lease right-of-use assets Five to 20 years Leasehold improvements Lesser of estimated useful life or remaining lease term We evaluate at least annually the recoverability of property and equipment for possible impairment whenever events or circumstances indicate t",https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,
META,2026-01-29,,,,5.5,"We extended the estimated useful lives of most servers and network assets to 5.5 years, effective January 1, 2025.",https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,
ORCL,2025-06-18,,,5.0,6.0,"69 Table of Contents During the first quarter of fiscal 2025, we completed an assessment of the useful lives of our servers and networking equipment and increased the estimate of the useful lives from five years to six years , effective at the beginning of fiscal 2025.",https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,
ORCL,2025-06-18,,,4.0,5.0,"During the first quarter of fiscal 2023, we completed an assessment of the useful lives of our servers and increased the estimate of the useful lives from four years to five years effective at the beginning of fiscal 2023.",https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,
ORCL,2025-06-18,,,5.0,6.0,"(2) During the first quarter of fiscal 2025, we completed an assessment of the useful lives of our servers and networking equipment and increased the estimate of the useful lives from five years to six years , effective at the beginning of fiscal 2025.",https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,
